player,team,matches,runs_scored,batting_avg,strike_rate,wickets_taken,bowling_avg,economy_rate,maidens,dot_balls,key_wickets,catches,run_outs,potm_wins,potm_rate,team_wins,win_rate,avg_last_5_runs,avg_last_5_wickets
AR Reakes,Sydney Sixers,51,520,10.2,95.76,3,47.67,8.09,0,30,2,12,1,0,0.0,24,0.47,10.4,0.0
SE Aley,Sydney Sixers,60,119,1.98,95.97,70,17.24,6.36,5,464,43,9,0,3,0.05,35,0.58,2.4,1.0
LC Sthalekar,Sydney Sixers,33,590,17.88,50.91,35,25.23,2.93,74,1300,14,10,1,2,0.06,20,0.61,3.4,1.6
EA Leys,Sydney Sixers,3,2,0.67,66.67,0,7.0,7.0,0,3,0,0,0,0,0.0,1,0.33,0.67,0.0
EJ Inglis,Melbourne Stars,38,472,12.42,94.02,0,0.0,0.0,0,0,0,13,0,1,0.03,14,0.37,5.8,0.0
MM Lanning,Australia,290,10126,34.92,100.14,2,33.5,3.72,2,66,1,122,9,34,0.12,198,0.68,34.2,0.0
JE Cameron,Australia,50,1106,22.12,79.11,0,0.0,0.0,0,0,0,27,2,3,0.06,31,0.62,15.8,0.0
HNK Jensen,New Zealand,163,1106,6.79,85.27,168,22.12,6.11,9,1620,92,30,10,2,0.01,77,0.47,4.2,1.0
KM Mack,Melbourne Stars,137,2936,21.43,99.06,0,0.0,0.0,0,0,0,35,8,8,0.06,64,0.47,21.8,0.0
E Kearney,Melbourne Stars,25,37,1.48,86.05,13,41.85,6.24,0,238,13,0,0,0,0.0,11,0.44,1.8,0.4
D Hazell,Yorkshire Diamonds,116,342,2.95,68.81,136,22.0,4.95,29,1779,66,14,4,1,0.01,64,0.55,4.0,1.4
A King,Melbourne Stars,202,993,4.92,93.24,261,18.9,5.48,45,2625,130,58,14,12,0.06,120,0.59,5.6,1.2
MJG Nielsen,Southern Vipers,54,46,0.85,66.67,56,19.8,4.49,9,825,33,5,3,0,0.0,33,0.61,0.0,0.8
GL Triscari,Melbourne Stars,21,1,0.05,25.0,22,19.41,6.44,1,142,13,3,0,0,0.0,10,0.48,0.0,1.4
SR Taylor,Jamaica,391,9889,25.29,89.7,264,23.53,5.19,38,3450,156,114,21,36,0.09,189,0.48,29.8,1.4
RL Haynes,Sydney Thunder,178,4904,27.55,84.81,6,25.5,4.06,10,147,4,68,5,11,0.06,111,0.62,28.6,0.0
AJ Blackwell,Yorkshire Diamonds,126,3091,24.53,73.61,0,1.0,0.86,0,6,0,35,10,8,0.06,70,0.56,12.0,0.0
H Kaur,India,331,8655,26.15,98.57,100,24.41,5.8,8,1101,47,130,18,27,0.08,169,0.51,22.2,1.6
EA Osborne,Australia,122,1024,8.39,89.28,122,23.48,5.41,23,1453,74,30,6,8,0.07,65,0.53,0.0,0.6
NE Stalenberg,Sydney Thunder,91,1299,14.27,99.69,0,14.0,12.0,0,2,0,28,4,1,0.01,37,0.41,19.0,0.0
RM Farrell,Surrey Stars,97,363,3.74,87.68,140,18.01,5.26,45,1457,66,10,2,5,0.05,62,0.64,6.2,0.6
NJ Carey,Sydney Thunder,168,2053,12.22,107.6,174,22.28,6.64,12,1363,94,62,2,8,0.05,91,0.54,20.6,1.0
B Vakarewa,Sydney Thunder,68,73,1.07,90.12,50,28.46,6.28,4,598,39,20,2,3,0.04,24,0.35,3.4,1.0
SL Bates,Sydney Thunder,107,34,0.32,47.89,115,21.42,6.22,6,997,71,17,1,6,0.06,48,0.45,0.2,0.8
TT Beaumont,Surrey Stars,352,10359,29.43,84.81,0,0.0,0.0,0,0,0,91,7,18,0.05,197,0.56,27.8,0.0
BE Patterson,Adelaide Strikers,108,1679,15.55,102.32,0,0.0,0.0,0,0,0,54,4,3,0.03,52,0.48,10.0,0.0
SFM Devine,Loughborough Lightning,397,11624,29.28,113.33,327,22.73,6.13,23,3314,186,117,26,50,0.13,196,0.49,14.2,1.0
SJ Coyte,Australia,157,585,3.73,93.6,186,20.3,5.68,37,1857,78,41,10,6,0.04,73,0.46,5.0,0.6
S Nitschke,Adelaide Strikers,21,473,22.52,51.58,18,32.22,3.17,41,747,6,2,1,2,0.1,9,0.43,16.6,1.0
TM McGrath,Adelaide Strikers,253,5131,20.28,100.71,155,25.8,6.09,26,1758,80,86,6,17,0.07,150,0.59,4.2,0.4
ML Schutt,Australia,332,430,1.3,86.0,452,19.07,5.24,112,5289,239,50,16,13,0.04,224,0.67,0.2,2.0
A Wellington,Adelaide Strikers,237,1521,6.42,123.16,311,18.67,5.92,19,2645,167,63,13,8,0.03,127,0.54,7.4,1.4
BL Mooney,Yorkshire Diamonds,348,12058,34.65,107.73,0,0.0,0.0,0,0,0,168,37,44,0.13,227,0.65,16.2,0.0
KL Short,Brisbane Heat,45,844,18.76,92.24,0,31.0,15.5,0,1,0,20,0,1,0.02,26,0.58,5.4,0.0
S Mandhana,India,327,10806,33.05,105.72,5,13.4,6.38,0,28,2,108,17,28,0.09,177,0.54,18.0,0.0
DM Kimmince,Brisbane Heat,118,678,5.75,102.73,132,20.45,6.72,6,881,65,32,0,2,0.02,79,0.67,8.8,1.2
DJS Dottin,Barbados,264,6414,24.3,105.18,200,21.98,6.11,10,1949,94,74,30,24,0.09,120,0.45,21.0,1.4
JL Jonassen,Australia,331,3515,10.62,99.24,484,17.52,5.24,79,4838,213,85,24,20,0.06,224,0.68,5.4,0.2
JL Barsby,Brisbane Heat,102,243,2.38,95.67,81,21.47,6.7,1,503,42,27,3,1,0.01,61,0.6,0.4,0.6
T Cooper,Brisbane Heat,1,1,1.0,20.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,1.0,0.0
H Birkett,Brisbane Heat,34,65,1.91,90.28,26,23.27,6.71,0,197,14,10,0,1,0.03,19,0.56,0.0,1.0
SJ Johnson,Sydney Thunder,118,1056,8.95,111.51,129,20.9,6.98,1,920,75,15,0,7,0.06,60,0.51,9.4,0.0
HL Ferling,Australia,84,77,0.92,91.67,52,31.71,5.54,16,916,40,21,3,1,0.01,40,0.48,0.2,0.8
P Cleary,Perth Scorchers,94,325,3.46,73.53,83,26.04,6.57,2,851,49,27,3,0,0.0,43,0.46,4.0,1.0
LG Smith,Sydney Sixers,102,364,3.57,91.92,82,21.45,6.74,1,542,41,28,2,1,0.01,51,0.5,1.0,0.2
L Harris,Barbados Royals,118,1567,13.28,167.06,0,0.0,0.0,0,0,0,31,4,6,0.05,71,0.6,10.2,0.0
K Sutherland,Sydney Sixers,8,10,1.25,100.0,1,75.0,7.38,0,21,0,2,0,0,0.0,4,0.5,0.4,0.2
L Bardsley,Melbourne Stars,2,5,2.5,50.0,0,0.0,0.0,0,0,0,0,0,0,0.0,0,0.0,2.5,0.0
CJ Koski,Sydney Thunder,30,294,9.8,102.8,0,35.0,10.0,0,2,0,7,0,0,0.0,13,0.43,6.6,0.0
ML Gibson,Sydney Thunder,63,120,1.9,84.51,60,21.87,6.95,0,394,30,16,0,1,0.02,29,0.46,5.8,0.8
CAK Walton,Jamaica Tallawahs,176,3443,19.56,117.87,0,7.0,6.0,0,1,0,95,7,10,0.06,77,0.44,20.6,0.0
CH Gayle,Jamaica Tallawahs,660,23182,35.12,102.7,220,33.08,4.43,130,5156,103,203,14,71,0.11,287,0.43,32.4,0.4
R Powell,Jamaica Tallawahs,298,6084,20.42,123.91,36,42.22,9.01,0,249,18,137,7,11,0.04,116,0.39,28.8,0.4
